No.,Pos.,Player,Date of birth,Caps,Club
1,GK,Nader El-Sayed,13 December 1972,,Zamalek
2,DF,Abdel-Zaher El-Saqqa,30 January 1974,,El Mansoura
3,DF,Mohamed Emara,10 June 1974,,Al-Ahly
4,DF,Hany Ramzy,10 March 1969,,Werder Bremen
5,DF,Samir Ibrahim Kamouna,2 April 1972,,Al-Ahly
6,DF,Mehdat Abdelhadi,12 July 1974,,Al-Zamalek
7,DF,Mohamed Youssef,9 October 1970,,Al-Ahly
8,MF,Yasser Radwan,22 April 1972,,Hansa Rostock
9,FW,Hossam Hassan,10 August 1966,,Al-Ahly
10,FW,Abdel Sattar Sabry,19 June 1974,,Tirol Innsbruck
11,MF,Yasser Rayyan,26 March 1970,,Al-Ahly
12,MF,Hady Khashaba,19 December 1972,,Al-Ahly
13,FW,Walid Salah,11 November 1977,,El Mansoura
14,FW,Hazem Emam,10 May 1975,,Udinese
15,MF,Amr Fahim,4 October 1976,,Aswan
16,GK,Essam El-Hadary,15 January 1973,,Al-Ahly
17,MF,Ahmed Hassan,2 May 1975,,Ismaily
18,FW,Abdel Nasser Mohammed,1 January 1975,,Al-Mokawloon al-Arab
19,DF,Sami El-Sheshini,23 January 1972,,Zamalek
20,MF,Tarek Mostafa,1 April 1971,,Zamalek
21,FW,Osama Nabih,20 January 1975,,Zamalek
22,GK,Ahmed Saber,11 April 1968,,Al-Mokawloon al-Arab
