No.,Pos.,Player,Date of birth,Caps,Club
1,GK,Wilfred Agbonavbare,5 October 1965,Rayo Vallecano
16,GK,Alloysius Agu,12 July 1967,RFC Liège
22,GK,Peter Rufai,24 August 1963,GA Eagles
2,DF,Augustine Eguavoen,19 August 1965,Kortrijk
3,DF,Benedict Iroha,29 November 1969,Vitesse Arnhem
4,DF,Stephen Keshi,23 January 1962,Unattached
5,DF,Uche Okechukwu,4 November 1967,Fenerbahçe
12,DF,Isaac Semitoje,2 October 1967,Iwuanyanwu Nationale
19,DF,Nduka Ugbade,6 September 1969,Unattached
6,DF,Uche Okafor,8 August 1967,Hannover 96
21,MF,Mutiu Adepoju,22 December 1970,Racing Santander
20,MF,Edema Fuludu,8 May 1970,BCC Lions
18,FW,Efan Ekoku,8 June 1967,Norwich City
7,MF,Finidi George,15 April 1971,Ajax Amsterdam
10,MF,Jay-Jay Okocha,14 August 1973,Frankfurt
8,MF,Thompson Oliha,4 October 1968,Unattached
15,MF,Sunday Oliseh,14 September 1974,RFC Liège
14,FW,Daniel Amokachi,30 December 1972,Club Brugge
11,MF,Emmanuel Amuneke,25 December 1970,Zamalek
17,FW,Victor Ikpeba,12 June 1973,AS Monaco
13,FW,Samson Siasia,14 August 1967,Nantes
9,FW,Rashidi Yekini,23 October 1963,Vitoria Setubal
